Quiz,HW,Participation,Final,Letter grade,Midterm
11.0,16.3,5.0,85.0,C+,69.09090909
13.77777778,18.11666667,5.0,78.0,C+,68.18181818
15.88888889,17.11666667,5.0,74.5,C+,70.45454545
17.77777778,16.75833333,5.0,72.5,C+,69.09090909
19.27777778,19.06666667,5.0,64.0,C+,70.90909091
16.38888889,17.875,5.0,69.0,C+,72.27272727
17.22222222,17.425,5.0,61.0,C+,80.90909091
16.83333333,18.55833333,5.0,70.0,C+,65.0
15.38888889,16.05,5.0,69.5,C+,74.54545455
16.05555556,18.11666667,5.0,74.0,C+,54.54545455
16.61111111,19.15833333,5.0,52.5,C+,84.54545455
9.5,17.66666667,5.0,73.5,C+,76.36363636
13.22222222,16.38333333,5.0,76.0,C+,63.18181818
12.44444444,16.275,4.0,77.0,C,65.0
14.38888889,17.025,5.0,63.0,C,72.72727273
11.38888889,14.025,5.0,74.5,C,63.63636364
15.11111111,16.58333333,5.0,59.0,C,70.45454545
13.88888889,15.13333333,5.0,64.0,C,65.45454545
13.22222222,14.475,5.0,62.0,C,70.90909091
16.66666667,19.05,5.0,57.0,C,55.0
16.27777778,17.24166667,4.0,52.5,C,66.36363636
15.38888889,16.625,5.0,61.0,C,48.18181818
15.61111111,18.175,5.0,64.5,C,23.18181818
12.55555556,14.58333333,5.0,62.0,C,56.81818182
12.11111111,15.25,4.0,51.0,C,75.45454545
14.88888889,17.25833333,5.0,72.5,C,0.0
10.88888889,15.10833333,5.0,68.0,C,41.36363636
12.66666667,17.23333333,2.0,51.5,D,67.27272727
17.44444444,17.16666667,5.0,37.5,D,57.27272727
14.05555556,14.525,5.0,53.5,D,44.54545455
9.722222222,8.6,5.0,51.5,D,70.90909091
10.66666667,18.225,5.0,47.5,D,45.45454545
18.16666667,18.075,5.0,40.0,D,34.09090909
11.55555556,9.35,5.0,49.0,D,62.72727273
14.94444444,17.9,5.0,40.0,D,43.18181818
14.55555556,13.14166667,4.0,50.5,D,41.36363636
12.72222222,9.0,0.0,45.5,D,75.0
2.833333333,4.25,5.0,64.0,D,50.90909091
12.83333333,13.075,5.0,28.5,F,47.27272727
15.5,16.3,4.0,33.0,F,16.81818182
16.11111111,17.125,5.0,0.0,F,40.0
15.83333333,18.63333333,0.0,0.0,F,45.45454545
11.11111111,11.16666667,2.0,0.0,F,62.72727273
6.222222222,8.316666666,0.0,31.5,F,40.90909091
12.05555556,13.7,5.0,0.0,F,36.36363636
11.22222222,15.975,5.0,6.5,F,18.18181818
5.111111111,6.425,5.0,0.0,F,65.90909091
5.222222222,8.083333334,5.0,0.0,F,59.54545455
13.83333333,9.95,1.0,0.0,F,40.0
7.611111111,7.216666666,5.0,0.0,F,38.63636364
10.16666667,11.55,0.0,0.0,F,36.36363636
8.722222222,7.683333334,1.0,0.0,F,44.54545455
